Source: http://omahaproxy.appspot.com/viewer

  version        channel  released  trunk   branch          webkit  v8
  -------        -------  --------  -----   ------          ------  --
  31.0.1650.63   stable   12/04/13  224845  1650@238485     158192  3.21.18.13
  30.0.1599.101  stable   10/15/13  217147  1599@227552     155942  3.20.17.15
* 29.0.1547.76   stable   09/18/13  208345  1547@223446     152953  3.19.18.23
  28.0.1500.95   stable   07/30/13  198577  1500@213514     149738  3.18.5.14
  27.0.1453.110  stable   06/04/13  190564  1453@202711     146842  3.17.6.15
  27.0.1453.94   stable   05/23/13  190564  1453_81@201630  146842  3.17.6.14
  27.0.1453.73   beta     05/01/13  190564  1453@197225     146842  3.17.6.10
  26.0.1410.43   stable   03/26/13  181864  1410@189671     142426  3.16.14.9
  26.0.1410.33   beta     03/13/13  181864  1410@187744     142426  3.16.14.5
